"No.","Time","Source","Destination","Protocol","Length","Info"
"16","6.138896","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","97","Standard query 0xf8a2 AAAA www.amazon.com.br"
"17","6.138937","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","100","Standard query 0x53cc AAAA webmail.utfpr.edu.br"
"18","6.138997","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","107","Standard query 0x9163 AAAA temuaffiliateprogram.pxf.io"
"19","6.139037","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0xb177 A www.uol.com.br"
"20","6.139077","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","102","Standard query 0x8098 AAAA s.click.aliexpress.com"
"21","6.139127","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","99","Standard query 0x0c6b AAAA moodle.utfpr.edu.br"
"22","6.139251","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","102","Standard query 0xefef A tenisbrasil.uol.com.br"
"23","6.139251","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","102","Standard query 0x47f2 HTTPS tenisbrasil.uol.com.br"
"24","6.139268","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","100","Standard query 0xde22 HTTPS webmail.utfpr.edu.br"
"25","6.139301","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0xf87b AAAA www.uol.com.br"
"26","6.139301","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0x716b HTTPS www.uol.com.br"
"27","6.139472","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","102","Standard query 0x7fd4 AAAA tenisbrasil.uol.com.br"
"28","6.142328","34.120.208.123","192.168.3.20","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"29","6.142964","192.168.3.20","34.120.208.123","TLSv1.3","118","Change Cipher Spec, Application Data"
"30","6.143435","192.168.3.20","34.120.208.123","TLSv1.3","146","Application Data"
"31","6.143478","192.168.3.20","34.120.208.123","TLSv1.3","474","Application Data"
"32","6.143499","192.168.3.20","34.120.208.123","TLSv1.3","1095","Application Data"
"33","6.145412","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","191","Standard query response 0x4d30 HTTPS temuaffiliateprogram.pxf.io SOA ns-904.awsdns-49.net"
"34","6.146117","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","99","Standard query 0x4268 HTTPS moodle.utfpr.edu.br"
"35","6.146340","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","204","Standard query response 0xbe81 A www.amazon.com.br CNAME tp.2afc17682-frontier.amazon.com.br CNAME dhr70anixjdp5.cloudfront.net A 13.227.124.184"
"36","6.147683","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","272","Standard query response 0x0a95 HTTPS www.amazon.com.br CNAME tp.2afc17682-frontier.amazon.com.br CNAME dhr70anixjdp5.cloudfront.net SOA ns-526.awsdns-01.net"
"37","6.148459","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","123","Standard query response 0xbc90 A temuaffiliateprogram.pxf.io A 35.201.76.231"
"38","6.149532","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","401","Standard query response 0x5f54 HTTPS s.click.aliexpress.com CNAME s.click.aliexpress.com.gds.alibabadns.com CNAME global.aliexpress.com CNAME global.aliexpress.com.gds.alibabadns.com CNAME sa1111.alicdn.com.edgekey.net CNAME e11957.x.akamaiedge.net SOA n0x.akamaiedge.net"
"39","6.150397","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","412","Standard query response 0xf8a2 AAAA www.amazon.com.br CNAME tp.2afc17682-frontier.amazon.com.br CNAME dhr70anixjdp5.cloudfront.net AAAA 2600:9000:21e8:5e00:d:1:4654:3781 AAAA 2600:9000:21e8:d800:d:1:4654:3781 AAAA 2600:9000:21e8:a00:d:1:4654:3781 AAAA 2600:9000:21e8:4200:d:1:4654:3781 AAAA 2600:9000:21e8:6400:d:1:4654:3781 AAAA 2600:9000:21e8:b600:d:1:4654:3781 AAAA 2600:9000:21e8:7a00:d:1:4654:3781 AAAA 2600:9000:21e8:f000:d:1:4654:3781"
"40","6.151417","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","191","Standard query response 0x9163 AAAA temuaffiliateprogram.pxf.io SOA ns-904.awsdns-49.net"
"41","6.151497","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","108","Standard query 0x6a28 A dhr70anixjdp5.cloudfront.net"
"42","6.152081","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","107","Standard query 0x4322 A temuaffiliateprogram.pxf.io"
"43","6.152733","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","200","Standard query response 0xb177 A www.uol.com.br CNAME dftex7xfha8fh.cloudfront.net A 108.139.166.11 A 108.139.166.4 A 108.139.166.85 A 108.139.166.41"
"44","6.153785","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=213 Ack=2552 Win=267520 Len=0"
"45","6.153785","34.120.208.123","192.168.3.20","TLSv1.3","678","Application Data, Application Data"
"46","6.153874","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","401","Standard query response 0x8098 AAAA s.click.aliexpress.com CNAME s.click.aliexpress.com.gds.alibabadns.com CNAME global.aliexpress.com CNAME global.aliexpress.com.gds.alibabadns.com CNAME sa1111.alicdn.com.edgekey.net CNAME e11957.x.akamaiedge.net SOA n0x.akamaiedge.net"
"47","6.153874","34.120.208.123","192.168.3.20","TLSv1.3","85","Application Data"
"48","6.153935","192.168.3.20","34.120.208.123","TCP","54","51914  >  443 [ACK] Seq=4105 Ack=868 Win=130816 Len=0"
"49","6.155964","192.168.3.20","34.120.208.123","TLSv1.3","85","Application Data"
"50","6.169315","192.168.3.20","200.192.100.13","DNS","79","Standard query 0x4268 HTTPS moodle.utfpr.edu.br"
"51","6.169410","192.168.3.20","200.192.100.13","DNS","80","Standard query 0x53cc AAAA webmail.utfpr.edu.br"
"52","6.169452","192.168.3.20","200.192.100.13","DNS","82","Standard query 0x7fd4 AAAA tenisbrasil.uol.com.br"
"53","6.169482","192.168.3.20","200.192.100.13","DNS","82","Standard query 0xe75b A s.click.aliexpress.com"
"54","6.169504","192.168.3.20","200.192.100.13","DNS","74","Standard query 0x716b HTTPS www.uol.com.br"
"55","6.169521","192.168.3.20","200.192.100.13","DNS","74","Standard query 0xf87b AAAA www.uol.com.br"
"56","6.169570","192.168.3.20","200.192.100.13","DNS","80","Standard query 0xde22 HTTPS webmail.utfpr.edu.br"
"57","6.169570","192.168.3.20","200.192.100.13","DNS","82","Standard query 0x47f2 HTTPS tenisbrasil.uol.com.br"
"58","6.169590","192.168.3.20","200.192.100.13","DNS","82","Standard query 0xefef A tenisbrasil.uol.com.br"
"59","6.169590","192.168.3.20","200.192.100.13","DNS","79","Standard query 0x0c6b AAAA moodle.utfpr.edu.br"
"60","6.184847","192.168.3.20","200.192.100.13","DNS","87","Standard query 0x4322 A temuaffiliateprogram.pxf.io"
"61","6.184955","192.168.3.20","200.192.100.13","DNS","88","Standard query 0x6a28 A dhr70anixjdp5.cloudfront.net"
"62","6.197526","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","151","Standard query response 0x0c6b AAAA moodle.utfpr.edu.br SOA stunts.cefetpr.br"
"63","6.197526","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=868 Ack=4105 Win=266240 Len=0"
"64","6.197526","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","123","Standard query response 0x4322 A temuaffiliateprogram.pxf.io A 35.201.76.231"
"65","6.197526","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","360","Standard query response 0xf87b AAAA www.uol.com.br CNAME dftex7xfha8fh.cloudfront.net AAAA 2600:9000:236b:8000:1:5a19:8b40:93a1 AAAA 2600:9000:236b:b000:1:5a19:8b40:93a1 AAAA 2600:9000:236b:6600:1:5a19:8b40:93a1 AAAA 2600:9000:236b:7a00:1:5a19:8b40:93a1 AAAA 2600:9000:236b:6400:1:5a19:8b40:93a1 AAAA 2600:9000:236b:7800:1:5a19:8b40:93a1 AAAA 2600:9000:236b:a600:1:5a19:8b40:93a1 AAAA 2600:9000:236b:c400:1:5a19:8b40:93a1"
"66","6.197526","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","152","Standard query response 0x53cc AAAA webmail.utfpr.edu.br SOA stunts.cefetpr.br"
"67","6.197822","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","151","Standard query response 0x4268 HTTPS moodle.utfpr.edu.br SOA stunts.cefetpr.br"
"68","6.197822","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","219","Standard query response 0x716b HTTPS www.uol.com.br CNAME dftex7xfha8fh.cloudfront.net SOA ns-47.awsdns-05.com"
"69","6.197822","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","124","Standard query response 0x6a28 A dhr70anixjdp5.cloudfront.net A 13.227.124.184"
"70","6.197822","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","152","Standard query response 0xde22 HTTPS webmail.utfpr.edu.br SOA stunts.cefetpr.br"
"71","6.197822","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","342","Standard query response 0xe75b A s.click.aliexpress.com CNAME s.click.aliexpress.com.gds.alibabadns.com CNAME global.aliexpress.com CNAME global.aliexpress.com.gds.alibabadns.com CNAME sa1111.alicdn.com.edgekey.net CNAME e11957.x.akamaiedge.net A 23.216.178.148"
"72","6.198330","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","107","Standard query 0xda78 AAAA temuaffiliateprogram.pxf.io"
"73","6.198523","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","108","Standard query 0xd93a AAAA dhr70anixjdp5.cloudfront.net"
"74","6.198715","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","100","Standard query 0x0232 AAAA webmail.utfpr.edu.br"
"75","6.198924","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","99","Standard query 0x6591 AAAA moodle.utfpr.edu.br"
"76","6.199040","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","108","Standard query 0xcbec A dftex7xfha8fh.cloudfront.net"
"77","6.199297","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","103","Standard query 0x8b88 A e11957.x.akamaiedge.net"
"78","6.203501","200.192.100.13","192.168.3.20","DNS","131","Standard query response 0x4268 HTTPS moodle.utfpr.edu.br SOA stunts.cefetpr.br"
"79","6.203501","200.192.100.13","192.168.3.20","DNS","132","Standard query response 0x53cc AAAA webmail.utfpr.edu.br SOA stunts.cefetpr.br"
"80","6.203501","200.192.100.13","192.168.3.20","DNS","340","Standard query response 0xf87b AAAA www.uol.com.br CNAME dftex7xfha8fh.cloudfront.net AAAA 2600:9000:236b:c400:1:5a19:8b40:93a1 AAAA 2600:9000:236b:8000:1:5a19:8b40:93a1 AAAA 2600:9000:236b:6400:1:5a19:8b40:93a1 AAAA 2600:9000:236b:6600:1:5a19:8b40:93a1 AAAA 2600:9000:236b:7800:1:5a19:8b40:93a1 AAAA 2600:9000:236b:7a00:1:5a19:8b40:93a1 AAAA 2600:9000:236b:a600:1:5a19:8b40:93a1 AAAA 2600:9000:236b:b000:1:5a19:8b40:93a1"
"81","6.203501","200.192.100.13","192.168.3.20","DNS","322","Standard query response 0xe75b A s.click.aliexpress.com CNAME s.click.aliexpress.com.gds.alibabadns.com CNAME global.aliexpress.com CNAME global.aliexpress.com.gds.alibabadns.com CNAME sa1111.alicdn.com.edgekey.net CNAME e11957.x.akamaiedge.net A 23.216.178.148"
"82","6.203501","200.192.100.13","192.168.3.20","DNS","199","Standard query response 0x716b HTTPS www.uol.com.br CNAME dftex7xfha8fh.cloudfront.net SOA ns-47.awsdns-05.com"
"83","6.203501","200.192.100.13","192.168.3.20","DNS","132","Standard query response 0xde22 HTTPS webmail.utfpr.edu.br SOA stunts.cefetpr.br"
"84","6.203501","200.192.100.13","192.168.3.20","DNS","104","Standard query response 0x6a28 A dhr70anixjdp5.cloudfront.net A 13.227.124.184"
"85","6.203501","200.192.100.13","192.168.3.20","DNS","131","Standard query response 0x0c6b AAAA moodle.utfpr.edu.br SOA stunts.cefetpr.br"
"86","6.203501","200.192.100.13","192.168.3.20","DNS","103","Standard query response 0x4322 A temuaffiliateprogram.pxf.io A 35.201.76.231"
"87","6.203606","192.168.3.20","200.192.100.13","ICMP","159","Destination unreachable (Port unreachable)"
"88","6.208971","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","191","Standard query response 0xda78 AAAA temuaffiliateprogram.pxf.io SOA ns-904.awsdns-49.net"
"89","6.209394","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","332","Standard query response 0xd93a AAAA dhr70anixjdp5.cloudfront.net AAAA 2600:9000:21e8:7a00:d:1:4654:3781 AAAA 2600:9000:21e8:d800:d:1:4654:3781 AAAA 2600:9000:21e8:4200:d:1:4654:3781 AAAA 2600:9000:21e8:5e00:d:1:4654:3781 AAAA 2600:9000:21e8:a00:d:1:4654:3781 AAAA 2600:9000:21e8:6400:d:1:4654:3781 AAAA 2600:9000:21e8:b600:d:1:4654:3781 AAAA 2600:9000:21e8:f000:d:1:4654:3781"
"90","6.210517","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","152","Standard query response 0x0232 AAAA webmail.utfpr.edu.br SOA stunts.cefetpr.br"
"91","6.210517","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","151","Standard query response 0x6591 AAAA moodle.utfpr.edu.br SOA stunts.cefetpr.br"
"92","6.210658","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","172","Standard query response 0xcbec A dftex7xfha8fh.cloudfront.net A 108.139.166.11 A 108.139.166.85 A 108.139.166.4 A 108.139.166.41"
"93","6.211174","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","108","Standard query 0xc67c AAAA dftex7xfha8fh.cloudfront.net"
"94","6.211383","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","119","Standard query response 0x8b88 A e11957.x.akamaiedge.net A 23.216.178.148"
"95","6.212013","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","103","Standard query 0x7f5c AAAA e11957.x.akamaiedge.net"
"96","6.212740","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=868 Ack=4136 Win=266240 Len=0"
"97","6.216616","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","332","Standard query response 0xc67c AAAA dftex7xfha8fh.cloudfront.net AAAA 2600:9000:236b:a600:1:5a19:8b40:93a1 AAAA 2600:9000:236b:8000:1:5a19:8b40:93a1 AAAA 2600:9000:236b:c400:1:5a19:8b40:93a1 AAAA 2600:9000:236b:7800:1:5a19:8b40:93a1 AAAA 2600:9000:236b:6400:1:5a19:8b40:93a1 AAAA 2600:9000:236b:7a00:1:5a19:8b40:93a1 AAAA 2600:9000:236b:6600:1:5a19:8b40:93a1 AAAA 2600:9000:236b:b000:1:5a19:8b40:93a1"
"98","6.217009","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","178","Standard query response 0x7f5c AAAA e11957.x.akamaiedge.net SOA n0x.akamaiedge.net"
"99","6.247776","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51761  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"100","6.247905","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51767  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"101","6.247941","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51769  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"102","6.247969","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51764  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"103","6.247999","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51765  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"104","6.248028","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51766  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"105","6.248054","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2600:1419:6200:3d::214:8b4c","TCP","74","51768  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"106","6.305169","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0x7dad A www.google.com"
"107","6.305342","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0xc623 AAAA www.google.com"
"108","6.325811","192.168.3.20","200.192.100.13","DNS","74","Standard query 0x7dad A www.google.com"
"109","6.325811","192.168.3.20","200.192.100.13","DNS","74","Standard query 0xc623 AAAA www.google.com"
"110","6.338145","200.192.100.13","192.168.3.20","DNS","90","Standard query response 0x7dad A www.google.com A 172.217.29.100"
"111","6.338577","200.192.100.13","192.168.3.20","DNS","102","Standard query response 0xc623 AAAA www.google.com AAAA 2800:3f0:4001:835::2004"
"112","6.339569","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0xc69c A www.google.com"
"113","6.339962","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","110","Standard query response 0x7dad A www.google.com A 172.217.29.100"
"114","6.339962","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","122","Standard query response 0xc623 AAAA www.google.com AAAA 2800:3f0:4001:835::2004"
"115","6.339998","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","ICMPv6","158","Destination Unreachable (Port unreachable)"
"116","6.341266","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2800:3f0:4001:835::2004","QUIC","1294","0-RTT, DCID=d68b2d63d0fc50c4, SCID=e55b95"
"117","6.341312","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","110","Standard query response 0xc69c A www.google.com A 172.217.29.100"
"118","6.341576","fe80::82e2:95e7:e8c1:3651","fe80::5655:d5ff:fee0:eecb","DNS","94","Standard query 0x268c AAAA www.google.com"
"119","6.341721","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2800:3f0:4001:835::2004","QUIC","258","0-RTT, DCID=d68b2d63d0fc50c4, SCID=e55b95"
"120","6.345519","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","122","Standard query response 0x268c AAAA www.google.com AAAA 2800:3f0:4001:835::2004"
"121","6.358549","34.120.208.123","192.168.3.20","TLSv1.3","503","Application Data"
"122","6.358549","34.120.208.123","192.168.3.20","TLSv1.3","215","Application Data"
"123","6.358620","192.168.3.20","34.120.208.123","TCP","54","51914  >  443 [ACK] Seq=4136 Ack=1478 Win=131840 Len=0"
"124","6.358966","192.168.3.20","34.120.208.123","TLSv1.3","93","Application Data"
"125","6.363769","192.168.3.20","34.120.208.123","TLSv1.3","208","Application Data"
"126","6.363875","192.168.3.20","34.120.208.123","TLSv1.3","1085","Application Data"
"127","6.403936","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=1478 Ack=4175 Win=266240 Len=0"
"128","6.403936","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Initial, DCID=e55b95, SCID=f68b2d63d0fc50c4, PKN: 1, ACK, PADDING"
"129","6.403936","fe80::5655:d5ff:fee0:eecb","fe80::82e2:95e7:e8c1:3651","DNS","138","Standard query response 0xefef A tenisbrasil.uol.com.br CNAME salsa.uol.com.br A 200.147.4.47"
"130","6.403936","200.192.100.13","192.168.3.20","DNS","118","Standard query response 0xefef A tenisbrasil.uol.com.br CNAME salsa.uol.com.br A 200.147.4.47"
"131","6.412675","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Handshake, DCID=e55b95, SCID=f68b2d63d0fc50c4"
"132","6.412675","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","677","Protected Payload (KP0), DCID=e55b95"
"133","6.412675","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","90","Protected Payload (KP0), DCID=e55b95"
"134","6.412794","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=1478 Ack=4329 Win=266240 Len=0"
"135","6.414551","34.120.208.123","192.168.3.20","TCP","54","443  >  51914 [ACK] Seq=1478 Ack=5360 Win=265216 Len=0"
"136","6.415864","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2800:3f0:4001:835::2004","QUIC","175","Protected Payload (KP0), DCID=f68b2d63d0fc50c4"
"137","6.428917","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","185","Protected Payload (KP0), DCID=e55b95"
"138","6.451439","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2800:3f0:4001:835::2004","QUIC","94","Protected Payload (KP0), DCID=f68b2d63d0fc50c4"
"139","6.478347","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","185","Protected Payload (KP0), DCID=e55b95"
"140","6.478731","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","2800:3f0:4001:835::2004","QUIC","95","Protected Payload (KP0), DCID=f68b2d63d0fc50c4"
"141","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"142","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"143","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","405","Protected Payload (KP0), DCID=e55b95"
"144","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","151","Protected Payload (KP0), DCID=e55b95"
"145","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1289","Protected Payload (KP0), DCID=e55b95"
"146","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"147","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"148","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"149","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"150","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"151","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"152","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"153","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","1294","Protected Payload (KP0), DCID=e55b95"
"154","6.813175","2800:3f0:4001:835::2004","2804:7acc:abf:4d00:89e9:80f4:2dd9:54a0","QUIC","716","Protected Payload (KP0), DCID=e55b95"
"155","6.813175","200.192.100.13","192.168.3.20","DNS","173","Standard query response 0x7fd4 AAAA tenisbrasil.uol.com.br CNAME salsa.uol.com.br SOA a10-dns-uolcsfe1.host.intranet"
